Método,Quadro (imagem),min_val,max_val
TM_SQDIFF,im280,296993536.0,2574168320.0
TM_SQDIFF,im281,315119872.0,2574168320.0
TM_SQDIFF,im282,313746688.0,2574168064.0
TM_SQDIFF,im283,316267776.0,2574168320.0
TM_SQDIFF,im284,321042944.0,2574168576.0
TM_SQDIFF,im285,322908160.0,2574168064.0
TM_SQDIFF,im286,323106304.0,2574168832.0
TM_SQDIFF,im287,323722240.0,2574168320.0
TM_SQDIFF,im288,322035200.0,2574168576.0
TM_SQDIFF,im289,328590336.0,2574168320.0
TM_SQDIFF,im290,322277120.0,2574168320.0
TM_SQDIFF,im291,315044352.0,2574168576.0
TM_SQDIFF,im292,322168832.0,2574168320.0
TM_SQDIFF,im293,321530624.0,2574168576.0
TM_SQDIFF,im294,312902400.0,2574168576.0
TM_SQDIFF,im295,288604672.0,2574168832.0
TM_SQDIFF,im296,270185472.0,2574168832.0
TM_SQDIFF,im297,257420288.0,2574169088.0
TM_SQDIFF,im298,259455488.0,2574168832.0
TM_SQDIFF,im299,252655872.0,2574168320.0
TM_SQDIFF,im300,251221248.0,2574169088.0
