Método,Quadro (imagem),min_val,max_val
TM_CCORR,im239,-152.0,588287488.0
TM_CCORR,im240,-144.0,588274048.0
TM_CCORR,im241,-128.0,588238848.0
TM_CCORR,im242,-128.0,588259072.0
TM_CCORR,im243,-128.0,588225024.0
TM_CCORR,im244,-152.0,588210048.0
TM_CCORR,im245,-160.0,588169920.0
TM_CCORR,im246,-128.0,588094080.0
TM_CCORR,im247,-160.0,588108736.0
TM_CCORR,im248,-160.0,588099712.0
TM_CCORR,im249,-160.0,587941504.0
TM_CCORR,im250,-160.0,587368448.0
TM_CCORR,im251,-136.0,586858048.0
TM_CCORR,im252,-128.0,585915008.0
TM_CCORR,im253,-160.0,585519040.0
TM_CCORR,im254,-128.0,585102720.0
TM_CCORR,im255,-144.0,584690944.0
TM_CCORR,im256,-144.0,585499392.0
TM_CCORR,im257,-128.0,586055360.0
TM_CCORR,im258,-128.0,584037504.0
TM_CCORR,im259,-144.0,573676928.0
TM_CCORR,im260,-128.0,566399104.0
TM_CCORR,im261,-144.0,560449280.0
TM_CCORR,im262,-160.0,560278656.0
TM_CCORR,im263,-152.0,560073344.0
TM_CCORR,im264,-144.0,560004288.0
TM_CCORR,im265,-128.0,559692288.0
TM_CCORR,im266,-128.0,559748096.0
TM_CCORR,im267,-144.0,559938688.0
TM_CCORR,im268,-144.0,559999616.0
TM_CCORR,im269,-128.0,560108928.0
TM_CCORR,im270,-160.0,560622336.0
TM_CCORR,im271,-144.0,561614016.0
TM_CCORR,im272,-160.0,562293632.0
TM_CCORR,im273,-144.0,563012928.0
TM_CCORR,im274,-144.0,563870848.0
TM_CCORR,im275,-136.0,564385536.0
TM_CCORR,im276,-152.0,565579776.0
TM_CCORR,im277,-176.0,565895424.0
TM_CCORR,im278,-144.0,566262336.0
TM_CCORR,im279,-160.0,566610688.0
TM_CCORR,im280,-144.0,567320832.0
TM_CCORR,im281,-160.0,567404032.0
TM_CCORR,im282,-160.0,567630720.0
TM_CCORR,im283,-128.0,567741056.0
TM_CCORR,im284,-160.0,567730560.0
TM_CCORR,im285,-128.0,567567872.0
TM_CCORR,im286,-160.0,567477888.0
TM_CCORR,im287,-160.0,567513984.0
TM_CCORR,im288,-160.0,567407552.0
TM_CCORR,im289,-144.0,567249216.0
TM_CCORR,im290,-144.0,567083200.0
TM_CCORR,im291,-128.0,566465408.0
TM_CCORR,im292,-160.0,566056832.0
TM_CCORR,im293,-160.0,565687360.0
TM_CCORR,im294,-160.0,579798272.0
TM_CCORR,im295,-160.0,583334912.0
TM_CCORR,im296,-160.0,582723392.0
TM_CCORR,im297,-160.0,581852672.0
TM_CCORR,im298,-144.0,581897472.0
TM_CCORR,im299,-144.0,581855552.0
TM_CCORR,im300,-144.0,582081216.0
